id,b,c,v,t
40001001,40,1,1,"Soðliche wel is to understanden þæt æfter matheus ge-rechednysse her is on cneornysse boc. hælendes cristes dauiðes suna. abrahames suna."
40001002,40,1,2,"Soðlice abraham gestreonede ysääc. Ysääc gestrenode iacob. Iacob gestreonede iudam & his gebroðre."
40001003,40,1,3,"Iudas gestrenede fares & zaram of þam wife þe wæs genemned thamar. Fares gestreoned esrom. Esrom gestrenede aram."
40001004,40,1,4,"Aram gestreonode aminadab. Aminadab gestrenede nääson. Nääson gestreonede salmon."
40001005,40,1,5,"Salmon gestreonede bööz of þam wife rääb. Bööz gestreonede obëëth of þam wife ruth. Obeth gestreonede iesse."
40001006,40,1,6,"Iesse gestreonede þanne kyng dauid. Dauid kyng gestreonede salomon of þam wife þe wæs urias wif."
40001007,40,1,7,"Salomon gestreonede roboam. Roboas gestreonede abia. Abia gestrenede asa."
40001008,40,1,8,"Asa gestreonede Iosaphat. Iosophat gestreonede ioram. Ioras gestreonede oziam."
40001009,40,1,9,"Ozias gestreonede ioatham. Ioatham gestreonede achaz. Achaz. gestreonede ezechiam."
40001010,40,1,10,"Ezechias gestreonede manassen. Manasses. gestreonede amon. Amon gestreonede ioram. Ioras gestreonede iosiam."
40001011,40,1,11,"Iosias gestreonede ieconiam. & his gebroðran on babilonis leordnysse."
40001012,40,1,12,"Ænd æfter babilonis geleordnysse. ieconias gestreonede salathiel. Salathiel. gestreonede zorobabel."
40001013,40,1,13,"Zorobabel gestreonede abiud. Abiud gestreonede eliachim. Eliachim gestreonede azor."
40001014,40,1,14,"Azor gestreonede sadoc. Sadoc gestreonede achim. Achim gestrenede eliud."
40001015,40,1,15,"Eliud gestreonede eleazar. Eleazar. gestreonede mathan. Mathan gestreonede Iacob."
40001016,40,1,16,"Iacob gestreonede Ioseph marie wer. of þare wæs akenned se hælend þe is genemned crist."
40001017,40,1,17,"Gernestlice ealle cneornyssa fram abrahame oððe dauid synd feowertene cneornyssa. & fram dauiðe oððe babilonis geleorednysse feortene cneornysse. & fram babilonis leorednysse. oð crist feortene cneornysse."
40001018,40,1,18,"Soðlice þus wæs cristes cneores. Ða þas hælendes moder Marie wæs iosepe beweddeð. ær hyo to-somne coman hyo wæs gemet on innoðe hæbbende of þam halge gaste."
40001019,40,1,19,"Soðlice Ioseph hire wer. þa he wæs rihtwis. & nolde hyo mærsian. he wolde hye dygeliche forlæten."
40001020,40,1,20,"Him þa soðliche þas þing þenchendum. drihtnes ængel on swefnum ateowede. & hym to cwæð. Ioseph dauiðes suna. nyle þu ondræden. marian þine gemæcchen to onfonne. þæt on hyre gekenned ys. hyt is of þan halgen gaste."
40001021,40,1,21,"Witodliche hyo kenð sunu. & þu nemnest his name hælend. he soðlice his folc hal gedeð. fram heora synnen."
40001022,40,1,22,"Soðlice eall þis wæs geworðan. þæt gefylled wære þæt fram drihtne gecwæðen wæs. þurh þanne witegan."
40001023,40,1,23,"Soðlice. syo femne hæfð on innoþe. & hyo kend (sic) suna. & hyo nemneð hys name emmanuel. þæt ys gereht on ure þeode god mid üs."
40001024,40,1,24,"Þa aras ioseph of swefne. & dyde swa drihtnes ængel him bebead & he on-feng hys mæcchen."
40001025,40,1,25,"& he ne grette hye. Heo kende. hire frum-kennede sune & nemde his name hælend."
40002001,40,2,1,"Eornestlice þa se hælend akenned wæs on iudeissere bëëthlëëm on þas kynges dagen herodes. þa coman þa tungel-witegen. fram east-dæle to ierusalem"
40002002,40,2,2,"& cwæðen. hwær is se iudea kyng þe akenned is. Soðliche we geseagen his steorran on east-dæle. & we comen us hine to ge-eadmedenne."
40002003,40,2,3,"Þa herodes þt geherde þa warð he gedrefeð & eal ierosolime-wære mid him."
40002004,40,2,4,"& þa gegaderede herodes ealle ealdres þare sacerdæs & folkes writeres. ænd axode hwær crist akenned wære."
40002005,40,2,5,"Ða sægden hyo him. on iudeissere bethlëëm. Witodlice þus ys awriten. þurh þanne witegan."
40002006,40,2,6,"Ænd þu bethlëëm iudea-land. witodlice ne eart þu læst on iudea ealdran. of þe forð gæð se heretoga seþe recð min folc israel."
40002007,40,2,7,"Herodes þa cleopede on sunder-spræce þa tungel-witegan. & befran hyo georne hwanne se steorre heom ateowede."
40002008,40,2,8,"Ænd he asende hye to bethlëëm & þus cwæð. Fareð & axiad geornlice be þam childe. & þanne ge hit gemeteð kyðað eft me. þæt ich cume & me to him gebidde."
40002009,40,2,9,"Þa hyo þæt bebod geherden þa ferden hyo. & soðlice se steorre þe hye on east-dæle geseagen. heom beforen ferde. oððe he stod ofer. þær þæt child wæs."
40002010,40,2,10,"Soðlice þa þa tungel-witegan þanne steorre ge-seagan fagenedon swiðe micele gefean."
40002011,40,2,11,"& geoden into þam huse hyo metten þt child mid marian hys moder. & hyo aþeneden hyo. & hyo to hym gebæden. And hyo untyndon heora gold-hordes. & him lac brohten. þæt wæs gold. & stor. & mirre."
40002012,40,2,12,"And hyo onfengen andswere on swefnum þæt hyo eft to herode ne hwyrfden. ac hyo on oþerne weig on hire riche ferden."
40002013,40,2,13,"Þa þa ferden þa atewede drihtnes engel iosepe on swefne. & þus cwæð. Aris & nym þæt child. & hys moder & fleog on egypte-land & beo þær oð þæt ic þe segge. Toward is þæt herodes secð þæt child to forspillene."
40002014,40,2,14,"He aras þa & nam þæt chyld & his moder on niht. & ferde into egypte."
40002015,40,2,15,"& wæs þær oððe herodes forð-sið. þæt wære gefeld þæt þe fram drihtne gecweðen wæs. þurh þanne witegan. Of egypte ich minne sune geclypede."
40002016,40,2,16,"Ða wæs herodes swiðe gebolgen for þam þe he befæht (sic) wæs fram þam tungel-witegan. & he asende þa. & ofsloh ealle þa chyld þe on bethlëëm wæron. & on eallen hire gemæren fram twiwintren elde & binnæn þan æfter þare tyde þe he ge-axode fram þam tungel-witegen."
40002017,40,2,17,"Ða wæs gefylled þt gecweðen wæs þurh ieremiam þam witegan."
40002018,40,2,18,"Stefne wæs on heahnysse gehyrd. wop & michel þotorung. rachel weop hire bearn. & hye nolde beon gefrefred. for þam þe hyo næren."
40002019,40,2,19,"Soðliche þa herodes wæs forð-faren. witodliche on swefne drihtnes ængel ætywede ioseph on egypte."
40002020,40,2,20,"& þus cwæð. Aris ænd nym þæt child. & his moder & far on israele-land. Nu synden forð-farene þa þas cyldes sawle sohten."
40002021,40,2,21,"He aras þa & onfeng þæt cyld & his moder & com on israele-land."
40002022,40,2,22,"Þa he gehyrde þæt archelaus rixede on iudea-þeode for þane heroden. he ondredde þider to farene. & on swefnen gemineged he ferde on galileisse dales."
40002023,40,2,23,"& he com þa & eardode on þare chestre þe is genemned nazareth. þæt wære gefylled. þæt gecweðen wæs þurh ieremie þanne witega. for þan þe he nazareisc byð genemned."
40003001,40,3,1,"On þam dagen com iohannes se fulluhtere & bodede on þam westene iudëë."
